slug,path,era,created,shipped_or_last,shipped_flag,status_word,hours,bytes,lines,groups,tasks,files,merges,commits,all_commits,active_hours,work_sessions,mention_commits,pr_merges,pr_files,pr_insertions,pr_deletions,pr_branch_commits,pr_branch_hours,pr_active_hours
natural-routing-skills,.genie/wishes/_archive/2025-10/natural-routing-skills/natural-routing-skills-wish.md,v2,2025-10-15T12:20:54-03:00,2025-10-15T12:56:52-03:00,shipped,COMPLETE,0.6,16425,273,4,30,10,0,10,5,2.2,2,0,0,0,0,0,0,0.0,0.0
token-efficient-output,.genie/wishes/_archive/2025-10/token-efficient-output/token-efficient-output-wish.md,v2,2025-10-15T14:10:11-03:00,2025-10-16T10:39:16-03:00,shipped,COMPLETE,20.48,13141,352,4,29,17,1,8,4,1.5,2,1,1,304,21136,13962,13,6.3,6.8
mcp-permission-regression,.genie/wishes/_archive/2025-10/mcp-permission-regression/mcp-permission-regression-wish.md,v2,2025-10-16T10:39:16-03:00,2025-10-20T19:12:40-03:00,unshipped,RESOLVED,104.56,15520,462,3,30,15,0,6,3,1.5,3,0,0,0,0,0,0,0.0,0.0
triad-redesign,.genie/wishes/_archive/2025-10/triad-redesign/triad-redesign-wish.md,v2,2025-10-16T17:03:00-03:00,2025-10-20T19:12:40-03:00,unshipped,WORKING,98.16,5027,174,3,9,3,0,6,3,1.5,3,0,0,0,0,0,0,0.0,0.0
agents-optimization,.genie/wishes/agents-optimization/agents-optimization-wish.md,v2,2025-10-17T16:42:31-03:00,2025-10-28T10:33:25-03:00,unshipped,ACTIVE,257.85,7664,241,16,34,12,0,8,10,3.5,7,0,0,0,0,0,0,0.0,0.0
genie-arch-rebrand,.genie/wishes/genie-arch-rebrand/genie-arch-rebrand-wish.md,v2,2025-10-17T19:39:25-03:00,2025-10-23T05:50:28-03:00,unshipped,PLANNING,130.18,14024,441,4,26,10,0,8,9,4.1,5,0,0,0,0,0,0,0.0,0.0
token-efficiency-gate,.genie/wishes/self-updating-ecosystem/token-efficiency-gate/token-efficiency-gate-wish.md,v2,2025-10-17T19:39:25-03:00,2025-10-20T19:12:40-03:00,unshipped,PLANNING,71.55,13369,422,4,16,8,0,8,1,0.5,1,0,0,0,0,0,0,0.0,0.0
self-updating-ecosystem,.genie/wishes/self-updating-ecosystem/self-updating-ecosystem-wish.md,v2,2025-10-17T19:57:58-03:00,2025-10-18T14:44:58-03:00,shipped,COMPLETE,18.78,28793,816,11,36,23,1,9,11,5.7,7,1,1,45,6431,714,9,2.0,2.5
rc21-session-lifecycle-fix,.genie/wishes/rc21-session-lifecycle-fix/rc21-session-lifecycle-fix-wish.md,v2,2025-10-18T01:36:15-03:00,2025-10-18T08:22:27-03:00,shipped,COMPLETE,6.77,3913,85,4,0,10,0,8,11,4.1,5,0,0,0,0,0,0,0.0,0.0
qa-workflow-standardization,.genie/wishes/qa-workflow-standardization/qa-workflow-standardization-wish.md,v2,2025-10-18T03:36:25-03:00,2025-10-23T05:50:28-03:00,unshipped,IN,122.23,5435,163,0,0,20,0,6,6,2.0,4,0,0,0,0,0,0,0.0,0.0
skills-prioritization,.genie/wishes/spells-prioritization/skills-prioritization-wish.md,v2,2025-10-18T08:20:16-03:00,2025-10-23T05:50:28-03:00,unshipped,IN,117.5,5209,153,5,15,2,0,8,6,3.4,5,2,0,0,0,0,0,0.0,0.0
forge-executor-replacement,.genie/wishes/forge-executor-replacement/forge-executor-replacement-wish.md,v2,2025-10-18T14:44:58-03:00,2025-10-23T05:50:28-03:00,unshipped,READY,111.09,23506,746,8,15,2,0,5,5,3.0,3,0,0,0,0,0,0,0.0,0.0
mcp-session-id-collision,.genie/wishes/mcp-session-id-collision/mcp-session-id-collision-wish.md,v2,2025-10-18T14:44:58-03:00,2025-10-18T14:44:58-03:00,shipped,COMPLETE,0.0,12603,371,4,0,12,0,3,4,3.0,3,0,0,0,0,0,0,0.0,0.0
146-session-name-architecture,.genie/wishes/146-session-name-architecture.md,v2,2025-10-18T17:12:05-03:00,2025-10-23T05:50:28-03:00,unshipped,IN,108.64,5093,205,0,23,7,0,5,0,0.0,0,0,0,0,0,0,0,0.0,0.0
agent-folder-unification,.genie/wishes/agent-folder-unification/agent-folder-unification-wish.md,v2,2025-10-20T06:06:02-03:00,2025-10-23T05:50:28-03:00,unshipped,DRAFT,71.74,4649,104,4,17,21,0,4,4,1.5,3,0,0,0,0,0,0,0.0,0.0
qa-codex-automation-checklist,.genie/wishes/archive/qa-codex-automation-checklist/qa-codex-automation-checklist-wish.md,v2,2025-10-20T14:58:03-03:00,2025-10-23T05:50:28-03:00,unshipped,DRAFT,62.87,6845,103,3,0,7,0,8,6,2.2,3,0,0,0,0,0,0,0.0,0.0
unified-mcp-startup,.genie/wishes/unified-mcp-startup/unified-mcp-startup-wish.md,v2,2025-10-20T18:19:49-03:00,2025-10-23T23:29:13-03:00,unshipped,READY,77.16,14654,577,0,25,6,0,7,11,3.3,5,2,0,0,0,0,0,0.0,0.0
template-discovery-from-collective-index,.genie/wishes/template-discovery-from-collective-index.md,v2,2025-10-22T16:53:36-03:00,2025-10-23T05:50:28-03:00,unshipped,DRAFT,12.95,6213,180,0,15,5,0,6,0,0.0,0,0,0,0,0,0,0,0.0,0.0
perf-test-temp,.genie/wishes/perf-test-temp.md,v2,2025-10-22T17:15:23-03:00,2025-10-23T05:50:28-03:00,unshipped,,12.58,31,2,0,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0.0,0.0
stable-launch-preparation,.genie/wishes/stable-launch-preparation.md,v2,2025-10-23T06:21:06-03:00,2025-10-23T06:21:06-03:00,shipped,COMPLETED,0.0,9689,268,0,0,6,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0.0
genie-mcp-mvp,.genie/wishes/archive/226-genie-mcp-mvp-outdated/genie-mcp-mvp-wish.md,v2,2025-10-23T09:13:46-03:00,2025-11-03T06:59:57-03:00,unshipped,ACTIVE,261.77,19027,640,0,29,10,0,6,2,0.5,1,0,0,0,0,0,0,0.0,0.0
244-genie-orchestration-intelligence,.genie/wishes/244-genie-orchestration-intelligence/244-genie-orchestration-intelligence-wish.md,v2,2025-10-23T22:30:51-03:00,2025-10-23T23:02:14-03:00,unshipped,DRAFT,0.52,15103,522,0,0,19,0,4,4,1.0,1,0,0,0,0,0,0,0.0,0.0
242-agent-execution-boundaries,.genie/wishes/242-agent-execution-boundaries/242-agent-execution-boundaries-wish.md,v2,2025-10-23T22:30:51-03:00,2025-10-23T22:30:51-03:00,unshipped,DRAFT,0.0,11123,213,3,30,17,0,2,2,0.5,1,0,0,0,0,0,0,0.0,0.0
cli-headless-execution-mode,.genie/wishes/cli-headless-execution-mode.md,v2,2025-10-24T19:48:50-03:00,2025-10-24T19:48:50-03:00,shipped,COMPLETED,0.0,7779,254,0,0,9,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0.0
refactor-genie-cli-split,.genie/wishes/refactor-genie-cli-split.md,v2,2025-10-28T13:55:58-03:00,2025-10-28T13:55:58-03:00,unshipped,BLUEPRINT,0.0,7983,289,0,10,8,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0.0
refactor-mcp-server-split,.genie/wishes/refactor-mcp-server-split.md,v2,2025-10-28T16:35:13-03:00,2025-10-28T16:35:13-03:00,unshipped,BLUEPRINT,0.0,8670,292,0,12,10,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0.0
424-taxonomy-refactor,.genie/wishes/424-taxonomy-refactor/424-taxonomy-refactor-wish.md,v2,2025-11-03T06:59:57-03:00,2025-11-17T03:45:37-03:00,unshipped,DRAFT,332.76,29856,622,5,30,28,0,4,10,7.0,6,1,0,0,0,0,0,0.0,0.0
359-folder-structure,.genie/wishes/359-folder-structure-refactor/359-folder-structure-wish.md,v2,2025-11-03T06:59:57-03:00,2025-11-03T06:59:57-03:00,shipped,COMPLETE,0.0,39595,1428,0,71,43,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0.0
upgrade-brainstorm-handoff,.genie/wishes/upgrade-brainstorm-handoff/wish.md,v2,2026-02-02T19:24:00-03:00,2026-02-03T03:39:08-03:00,unshipped,DRAFT,8.25,3646,125,3,13,4,0,2,2,1.0,2,0,0,0,0,0,0,0.0,0.0
fix-install-sync,.genie/wishes/fix-install-sync/wish.md,v2,2026-02-03T22:15:38-03:00,2026-02-03T22:15:38-03:00,shipped,DONE,0.0,5007,165,4,21,7,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
wish-23-auto-approve,.genie/wishes/wish-23-auto-approve/wish.md,v2,2026-02-03T23:19:41-03:00,2026-02-03T23:19:41-03:00,shipped,COMPLETE,0.0,3955,147,5,7,5,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
wish-24-worker-dashboard,.genie/wishes/wish-24-worker-dashboard/wish.md,v2,2026-02-03T23:37:17-03:00,2026-02-03T23:37:17-03:00,shipped,COMPLETE,0.0,3448,112,4,6,3,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
wish-25-parallel-spawn,.genie/wishes/wish-25-parallel-spawn/wish.md,v2,2026-02-04T00:08:51-03:00,2026-02-04T00:08:51-03:00,shipped,COMPLETE,0.0,3635,145,5,8,6,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
claudio-profiles,.genie/wishes/claudio-profiles/wish.md,v2,2026-02-05T00:41:32-03:00,2026-02-05T00:41:32-03:00,shipped,COMPLETE,0.0,2275,81,6,0,14,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
cli-reorganization,.genie/wishes/cli-reorganization/wish.md,v2,2026-02-05T14:55:59-03:00,2026-02-05T17:45:12-03:00,shipped,DONE,2.82,26651,689,8,37,27,0,6,6,3.0,5,2,0,0,0,0,0,0.0,0.0
skill-docs-update,.genie/wishes/skill-docs-update/wish.md,v2,2026-02-05T18:30:10-03:00,2026-02-05T18:30:10-03:00,shipped,DONE,0.0,8748,256,5,33,7,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
wish-26-worker-addressed-commands,.genie/wishes/wish-26-worker-addressed-commands/wish.md,v2,2026-02-09T03:43:10-03:00,2026-02-09T03:43:10-03:00,shipped,COMPLETE,0.0,14731,260,2,57,10,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
upgrade-brainstorm,.genie/wishes/upgrade-brainstorm/wish.md,v2,2026-02-09T14:55:20-03:00,2026-02-13T17:01:55-03:00,shipped,COMPLETE,98.11,5169,142,5,33,6,0,5,5,2.5,5,1,0,0,0,0,0,0.0,0.0
active-pane-resolution,.genie/wishes/active-pane-resolution/wish.md,v2,2026-02-09T14:55:30-03:00,2026-02-09T14:55:30-03:00,shipped,COMPLETE,0.0,4774,83,4,18,2,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
hooks-v2,.genie/wishes/hooks-v2/wish.md,v2,2026-02-09T14:57:07-03:00,2026-02-13T17:01:55-03:00,shipped,COMPLETE,98.08,6701,161,3,34,4,0,5,23,5.7,6,19,0,0,0,0,0,0.0,0.0
pane-orchestration-v2,.genie/wishes/pane-orchestration-v2/wish.md,v2,2026-02-09T14:57:45-03:00,2026-02-09T14:57:45-03:00,shipped,COMPLETE,0.0,8146,169,3,39,8,0,4,4,2.0,4,0,0,0,0,0,0,0.0,0.0
forge-resilience,.genie/wishes/forge-resilience/wish.md,v2,2026-02-10T17:16:30-03:00,2026-02-13T17:01:55-03:00,shipped,COMPLETE,71.76,9698,229,4,58,7,0,7,7,2.7,5,4,0,0,0,0,0,0.0,0.0
wrs-backlog-reorg,.genie/wishes/wrs-backlog-reorg/wish.md,v2,2026-02-13T15:01:30-03:00,2026-02-19T03:07:14-03:00,shipped,COMPLETE,132.1,10203,270,4,21,4,0,5,5,2.5,5,1,0,0,0,0,0,0.0,0.0
workflow-rebrand,.genie/wishes/workflow-rebrand/wish.md,v2,2026-02-13T17:01:55-03:00,2026-02-13T17:01:55-03:00,shipped,COMPLETE,0.0,5813,156,4,7,16,1,4,5,2.5,5,2,1,12,150,1059,1,0.5,0.5
genie-cli-teams,.genie/wishes/genie-cli-teams/WISH.md,v2,2026-02-24T22:31:48-03:00,2026-03-03T19:17:07-03:00,unshipped,DRAFT,164.76,10744,264,6,28,3,1,5,6,3.0,6,2,1,24,2241,111,2,44.2,1.0
resolve-dev-desync,.genie/wishes/resolve-dev-desync/WISH.md,v2,2026-03-06T20:07:38-03:00,2026-03-06T20:10:01-03:00,shipped,SHIPPED,0.04,4446,117,3,7,3,0,4,4,1.0,2,1,0,0,0,0,0,0.0,0.0
unify-install-kill-fragmentation,.genie/wishes/unify-install-kill-fragmentation/WISH.md,v3,2026-03-10T01:46:37-03:00,2026-03-10T01:46:37-03:00,shipped,SHIPPED,0.0,12751,256,6,12,14,0,5,5,2.0,4,1,0,0,0,0,0,0.0,0.0
genie-default-command,.genie/wishes/genie-default-command/WISH.md,v3,2026-03-10T16:01:00-03:00,2026-03-10T16:01:00-03:00,shipped,SHIPPED,0.0,10251,229,6,12,20,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
report-skill-plugin-rename,.genie/wishes/report-skill-plugin-rename/WISH.md,v3,2026-03-10T16:01:00-03:00,2026-03-10T16:01:00-03:00,shipped,SHIPPED,0.0,10258,219,4,13,9,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
deps-bump-readme-rewrite,.genie/wishes/deps-bump-readme-rewrite/WISH.md,v3,2026-03-10T18:38:34-03:00,2026-03-16T13:14:17-03:00,unshipped,APPROVED,138.6,4534,119,2,32,0,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
fix-onboarding-prod-bugs,.genie/wishes/fix-onboarding-prod-bugs/WISH.md,v3,2026-03-13T20:07:59-03:00,2026-03-16T13:14:17-03:00,unshipped,SUPERSEDED,65.11,7187,154,4,7,5,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
genie-v2-framework-redesign,.genie/wishes/genie-v2-framework-redesign/WISH.md,v3,2026-03-13T20:07:59-03:00,2026-03-16T13:14:17-03:00,unshipped,DRAFT,65.11,28738,547,10,20,27,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
fix-ghost-teammates,.genie/wishes/fix-ghost-teammates/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,1933,74,2,4,3,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
fix-leader-spawn-crash,.genie/wishes/fix-leader-spawn-crash/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,4553,98,2,7,4,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
fix-orchestration-rules,.genie/wishes/fix-orchestration-rules/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,13362,281,5,22,6,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
fix-reset-ghost-teams,.genie/wishes/fix-reset-ghost-teams/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,1984,76,2,4,4,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
genie-v2-fix-gaps,.genie/wishes/genie-v2-fix-gaps/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,APPROVED,1.05,14029,327,7,13,16,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
genie-v2-post-merge-fixes,.genie/wishes/genie-v2-post-merge-fixes/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,APPROVED,1.05,13865,291,3,10,6,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
leader-auto-kickoff,.genie/wishes/leader-auto-kickoff/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,6711,151,3,9,5,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
project-scoped-agents,.genie/wishes/project-scoped-agents/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,4875,123,2,9,10,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
skill-refresh,.genie/wishes/skill-refresh/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T12:10:40-03:00,shipped,SHIPPED,0.0,19618,362,7,16,22,1,2,3,2.1,2,1,1,15,557,741,3,0.7,1.1
spawn-into-session,.genie/wishes/spawn-into-session/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,4419,114,2,8,4,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
task-leader-architecture,.genie/wishes/task-leader-architecture/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,11186,252,5,16,6,0,2,2,1.6,1,0,0,0,0,0,0,0.0,0.0
v2-qa-fixes,.genie/wishes/v2-qa-fixes/WISH.md,v3,2026-03-16T12:10:40-03:00,2026-03-16T13:13:58-03:00,unshipped,DRAFT,1.05,17148,362,7,18,18,2,2,4,2.8,2,2,2,24,864,349,6,1.1,2.0999999999999996
genie-boards-workflows,.genie/wishes/genie-wishes-backup/genie-boards-workflows/WISH.md,v4,2026-03-25T16:07:52-03:00,2026-03-27T16:04:47-03:00,shipped,SHIPPED,47.95,20112,346,4,54,1,0,10,9,3.0,5,2,0,0,0,0,0,0.0,0.0
genie-workflow-engine,.genie/wishes/genie-wishes-backup/genie-workflow-engine/WISH.md,v4,2026-03-25T16:28:58-03:00,2026-04-11T05:58:25+00:00,unshipped,BRAINSTORM,394.49,3184,61,0,0,0,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-task-tables,.genie/wishes/genie-wishes-backup/genie-task-tables/WISH.md,v4,2026-03-25T16:37:18-03:00,2026-04-11T05:58:25+00:00,unshipped,SUPERSEDED,394.35,4645,98,3,12,6,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
task-lifecycle-foundation,.genie/wishes/genie-wishes-backup/task-lifecycle-foundation/WISH.md,v4,2026-03-25T16:37:18-03:00,2026-03-25T16:37:18-03:00,shipped,DONE,0.0,63591,1067,6,168,33,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-dx-polish,.genie/wishes/genie-wishes-backup/genie-dx-polish/WISH.md,v4,2026-03-25T18:34:38-03:00,2026-03-27T16:04:47-03:00,shipped,SHIPPED,45.5,8551,198,4,25,0,1,8,7,3.2,5,2,1,7,70,63,1,0.1,0.5
genie-final-polish,.genie/wishes/genie-wishes-backup/genie-final-polish/WISH.md,v4,2026-03-25T19:45:17-03:00,2026-03-25T19:45:17-03:00,shipped,DONE,0.0,10001,207,4,31,0,1,8,7,2.8,5,2,1,6,226,102,1,0.0,0.5
docs-readme-review,.genie/wishes/genie-wishes-backup/docs-readme-review/WISH.md,v4,2026-03-25T21:05:48-03:00,2026-03-27T16:04:47-03:00,shipped,SHIPPED,42.98,7010,176,3,20,6,0,8,7,2.6,5,1,0,0,0,0,0,0.0,0.0
agent-flexibility-guide,.genie/wishes/genie-wishes-backup/agent-flexibility-guide/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,APPROVED,324.31,4869,156,3,19,2,0,8,6,3.3,4,0,0,0,0,0,0,0.0,0.0
auto-orchestrate,.genie/wishes/genie-wishes-backup/auto-orchestrate/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,8870,233,5,26,5,1,8,7,3.0,6,1,1,6,495,46,1,0.2,0.5
daily-metrics-agent,.genie/wishes/genie-wishes-backup/daily-metrics-agent/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:59:11-03:00,shipped,SHIPPED,196.33,14195,361,4,46,7,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
docs-overhaul,.genie/wishes/genie-wishes-backup/docs-overhaul/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,9035,239,5,29,8,1,8,7,3.0,6,1,1,47,2738,3150,6,6.1,2.9
dx-800-closeout,.genie/wishes/genie-wishes-backup/dx-800-closeout/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,6024,161,3,17,7,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
feature-matrix-page,.genie/wishes/genie-wishes-backup/feature-matrix-page/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,APPROVED,324.31,2554,98,2,12,1,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fire-and-forget,.genie/wishes/genie-wishes-backup/fire-and-forget/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,13602,283,5,43,7,0,7,6,2.5,5,1,0,0,0,0,0,0.0,0.0
fix-agent-join-delay,.genie/wishes/genie-wishes-backup/fix-agent-join-delay/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,APPROVED,324.31,3634,93,1,9,2,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-cli-polish,.genie/wishes/genie-wishes-backup/fix-cli-polish/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,7766,198,4,21,10,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-depends-parser,.genie/wishes/genie-wishes-backup/fix-depends-parser/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,2094,90,2,5,1,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
fix-dispatch-initial-prompt,.genie/wishes/genie-wishes-backup/fix-dispatch-initial-prompt/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3208,68,1,0,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-first-run,.genie/wishes/genie-wishes-backup/fix-first-run/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3784,99,1,11,6,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-genie-v4-stability,.genie/wishes/genie-wishes-backup/fix-genie-v4-stability/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,,324.31,10706,225,5,21,19,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-metrics-agent,.genie/wishes/genie-wishes-backup/fix-metrics-agent/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3395,98,2,6,6,0,7,7,2.5,5,2,0,0,0,0,0,0.0,0.0
fix-native-inbox,.genie/wishes/genie-wishes-backup/fix-native-inbox/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3818,94,1,9,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-release-blockers,.genie/wishes/genie-wishes-backup/fix-release-blockers/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,6755,185,3,16,4,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-session-continue-fallback,.genie/wishes/genie-wishes-backup/fix-session-continue-fallback/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,DONE,0.0,9519,216,1,15,0,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-session-hook-channel,.genie/wishes/genie-wishes-backup/fix-session-hook-channel/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,4677,142,3,14,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-session-uuid-resume,.genie/wishes/genie-wishes-backup/fix-session-uuid-resume/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,OBSOLETE,324.31,7594,165,2,18,0,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
fix-short-name-resolver,.genie/wishes/genie-wishes-backup/fix-short-name-resolver/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3324,87,1,9,2,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
